,#RIC,Alias Underlying RIC,Domain,GMT Offset,Type,Open,High,Low,Last,Volume,No. Trades,Open Bid,High Bid,Low Bid,Close Bid,No. Bids,Open Ask,High Ask,Low Ask,Close Ask,No. Asks,date,time,Adjusted Open
4432,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.4,112.4,112.4,112.4,64.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,13:58:00,105.83319865595628
4433,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.5,112.5,112.5,112.5,45.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:00:00,105.92735630600608
4434,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.5,112.5,112.5,112.5,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:01:00,105.92735630600608
4435,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.7,112.7,112.7,112.7,,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:03:00,106.11567160610562
4436,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.5,112.5,112.5,112.5,66.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:06:00,105.92735630600608
4437,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.5,112.5,112.5,112.5,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:07:00,105.92735630600608
4438,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.6,112.6,112.6,112.6,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:09:00,106.02151395605587
4439,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.5,112.5,112.5,112.5,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:16:00,105.92735630600608
4440,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.4,112.4,112.4,112.4,13.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:18:00,105.83319865595628
4441,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.2,112.2,112.2,112.2,50.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:20:00,105.64488335585672
4442,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.3,112.4,112.3,112.4,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:21:00,105.73904100590649
4443,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.25,112.25,112.25,112.25,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:23:00,105.6919621808816
4444,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.2,112.2,112.2,112.2,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:28:00,105.64488335585672
4445,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.3,112.3,112.3,112.3,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:31:00,105.73904100590649
4446,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.1,112.1,112.1,112.1,2.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:34:00,105.55072570580691
4447,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.1,112.1,112.1,112.1,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:35:00,105.55072570580691
4448,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.2,112.2,112.2,112.2,224.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:37:00,105.64488335585672
4449,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.2,112.3,112.2,112.3,3.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:38:00,105.64488335585672
4450,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.4,112.4,112.3,112.3,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:39:00,105.83319865595628
4451,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.4,112.4,112.4,112.4,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:40:00,105.83319865595628
4452,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.5,112.5,112.5,112.5,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:41:00,105.92735630600608
4453,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.4,112.4,112.4,112.4,56.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:42:00,105.83319865595628
4454,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.4,112.4,112.3,112.3,0.0,3.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:43:00,105.83319865595628
4455,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.3,112.3,112.3,112.3,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:44:00,105.73904100590649
4456,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.1,112.1,112.1,112.1,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:46:00,105.55072570580691
4457,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.1,112.1,112.1,112.1,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:47:00,105.55072570580691
4458,HGc1,HGN7,Market Price,-4,Intraday 1Min,112.1,112.1,112.0,112.0,0.0,3.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,14:50:00,105.55072570580691
4459,HGc1,HGN7,Market Price,-4,Intraday 1Min,111.8,111.8,111.8,111.8,0.0,2.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,15:04:00,105.26825275565758
4460,HGc1,HGN7,Market Price,-4,Intraday 1Min,111.7,111.7,111.7,111.7,0.0,1.0,112.1,112.1,112.1,112.1,0.0,113.4,113.5,113.4,113.5,0.0,1997-06-27,15:06:00,105.17409510560779
